Organization,Tier,Total Score,Free Users,License Type,Customer Usage Health,True Activation,Renewal Target Amount,Days to Renewal,Renewal Date,License Pts,Health Pts,Activation Pts,Free User Pts,ARR Pts,Renewal Pts
"University of Chieti-Dept. Medical, Oral and Biotechnology Sciences",Tier 2,61,85,Defined Group,Red,0.92,5385.0,93,2026-05-01,5,3,14,25,4,10
University of New Mexico - Molecular Genetics and Microbiology,Tier 2,61,202,Named User,Yellow,0.9393939393939394,7108.2,215,2026-08-31,7,8,14,25,4,3
Medical University of Innsbruck,Tier 2,60,196,Named User (Chargeback),Red,0.9565217391304348,14647.2,165,2026-07-12,4,3,16,25,6,6
University of Siena - Department of Medical Biotechnologies,Tier 2,60,246,Right to Deploy,Red,0.9361702127659575,9477.6,73,2026-04-11,3,3,14,25,4,11
University of New Mexico Department of Biology,Tier 2,60,202,Defined Group,Red,1.2307692307692308,8400.6,161,2026-07-08,5,3,18,25,4,5
Philipps University of Marburg - Faculty of Medicine,Tier 2,60,221,Named User (Chargeback),Yellow,0.9615384615384616,5385.0,192,2026-08-08,4,8,16,25,4,3
University of Lodz - Faculty of Biology and Environmental Protection,Tier 2,59,178,Right to Deploy,Yellow,1.0,4738.8,324,2026-12-18,3,8,18,25,2,3
Czech Academy of Sciences - Institute of Biotechnology,Tier 2,59,180,Defined Group,Red,1.3898305084745763,12708.6,338,2027-01-01,5,3,18,25,6,2
University of St Andrews - School of Medicine,Tier 2,59,120,Defined Group,Red,1.5471698113207548,10568.2,192,2026-08-08,5,3,18,25,6,2
UK Health Security Agency - Radiation Department,Tier 2,59,59,Named User,Yellow,0.9130434782608695,4954.2,400,2027-03-04,7,8,14,25,2,3
Florida State University - Department of Biomedical Sciences,Tier 2,59,207,Defined Group,Red,1.2586206896551724,12493.2,233,2026-09-18,5,3,18,25,6,2
Riga Stradins University formerly RSU - Institute of Microbiology and Virology,Tier 2,57,12,Named User,Red,1.0,10770.0,94,2026-05-02,7,3,18,14,6,9
Georgia State University - Neuroscience Institute,Tier 2,57,145,Defined Group,Red,1.3181818181818181,9477.6,191,2026-08-07,5,3,18,25,4,2
Pompeu Fabra University,Tier 2,57,148,Named User,Red,0.8333333333333334,12924.0,126,2026-06-03,7,3,10,25,6,6
Howard Hughes Medical Institute,Tier 2,57,28,Defined Group,Red,1.75,17232.0,139,2026-06-16,5,3,18,18,8,5
Augusta University - Immunology Center of Georgia,Tier 2,57,199,Defined Group,Red,1.0,5385.0,309,2026-12-03,5,3,18,25,4,2
National Health Research Institutes - Library Services,Tier 2,57,33,Named User (Chargeback),Yellow,0.9137931034482759,11707.8,338,2027-01-01,4,8,14,22,6,3
Fox Chase Cancer Center,Tier 2,56,32,Named User (Chargeback),Red,0.990990990990991,22594.0,199,2026-08-15,4,3,16,22,8,3
Academic Health Center,Tier 2,56,301,Right to Deploy,Red,0.593103448275862,24771.0,-15,2026-01-13,3,3,2,25,8,15
University of Sunderland - Biomedical Sciences,Tier 2,56,46,Named User,Yellow,0.9,4308.0,181,2026-07-28,7,8,14,22,2,3
University of Pavia,Tier 2,56,104,Right to Deploy,Red,0.92,4308.0,98,2026-05-06,3,3,14,25,2,9
Oregon State University - Linus Pauling Institute,Tier 2,55,279,Named User,Yellow,0.8,4308.0,343,2027-01-06,7,8,10,25,2,3
"Research Center Borstel, Leibniz Lung Center",Tier 2,55,12,Defined Group,Yellow,1.794871794871795,16801.2,242,2026-09-27,5,8,18,14,8,2
Nova Southeastern University - Oceanographic Campus Library,Tier 2,55,108,Named User,Yellow,0.8571428571428571,4308.0,350,2027-01-13,7,8,10,25,2,3
Bielefeld University Medical School OWL,Tier 2,55,96,Named User (Chargeback),Red,0.8333333333333334,6462.0,93,2026-05-01,4,3,10,25,4,9
"Kaohsiung Medical University (KMU), College of Medicine",Tier 2,55,71,Named User,Yellow,0.8095238095238095,4523.4,185,2026-08-01,7,8,10,25,2,3
Rowan University - Cooper Medical School - Department of Biomedical Sciences,Tier 3,54,144,Named User,Red,0.9047619047619048,4308.0,296,2026-11-20,7,3,14,25,2,3
University of Puerto Rico - Industrial Biotechnology Learning Center (IBLC),Tier 3,54,282,Right to Deploy,Red,0.7666666666666667,4308.0,0,2026-01-28,3,3,6,25,2,15
Africa Health Research Institute,Tier 3,54,19,Named User (Chargeback),Red,0.9,8185.2,4,2026-02-01,4,3,14,14,4,15
German Aerospace Center,Tier 3,54,8,Named User,Yellow,0.9333333333333333,6462.0,74,2026-04-12,7,8,14,10,4,11
Czech Academy of Sciences,Tier 3,54,180,Right to Deploy,Red,0.8,5385.0,93,2026-05-01,3,3,10,25,4,9
University of Greenwich - Faculty of Engineering & Science,Tier 3,51,7,Named User,Red,0.96,10770.0,103,2026-05-11,7,3,16,10,6,9
"University of Nevada, Las Vegas",Tier 3,51,28,Named User,Yellow,0.85,4308.0,163,2026-07-10,7,8,10,18,2,6
IRCCS Mondino Foundation,Tier 3,51,4,Named User,Green,0.9,4308.0,327,2026-12-21,7,20,14,5,2,3
Tuskegee University Center for Biomedical Research,Tier 3,51,16,Named User,Red,0.95,4308.0,107,2026-05-15,7,3,16,14,2,9
Versiti - Blood Center of Wisconsin,Tier 3,50,10,Defined Group,Red,1.216867469879518,17878.2,378,2027-02-10,5,3,18,14,8,2
Institute for Clinical and Experimental Medicine,Tier 3,50,16,Named User,Yellow,0.8,4308.0,107,2026-05-15,7,8,10,14,2,9
Abo Akademi University - Faculty of Science and Technology,Tier 3,49,68,Named User,Yellow,0.56,5385.0,349,2027-01-12,7,8,2,25,4,3
UKE Hamburg - iPrime,Tier 3,49,302,Named User (Chargeback),Red,0.75,4308.0,93,2026-05-01,4,3,6,25,2,9
Oregon State University - Environmental & Molecular Toxicology + Food Science & Technology + COMES,Tier 3,48,279,Right to Deploy,Red,0.7833333333333333,24648.0,352,2027-01-15,3,3,6,25,8,3
Presse UKR - Leibniz Insitute for Immunotherapy,Tier 3,47,75,Named User,Yellow,0.65,4308.0,306,2026-11-30,7,8,2,25,2,3
Indian Institute of Science,Tier 3,47,321,Named User,Yellow,0.55,4308.0,251,2026-10-06,7,8,2,25,2,3
RIVM - Center for Immunology of Infectious Diseases and Vaccines,Tier 3,46,14,Defined Group,Red,1.205128205128205,8400.6,283,2026-11-07,5,3,18,14,4,2
NIPER Hyderabad - Named User License,Tier 3,46,2,Named User,Yellow,0.9666666666666667,6462.0,149,2026-06-26,7,8,16,5,4,6
University of Saskatchewan - College of Ag,Tier 3,45,344,Named User (Chargeback),Red,0.7058823529411765,7323.6,370,2027-02-02,4,3,6,25,4,3
University of Southampton - School of Clinical & Experimental Sciences,Tier 3,45,358,Defined Group,Red,0.2,17232.0,259,2026-10-14,5,3,2,25,8,2
Acibadem Universitesi - Library,Tier 3,44,68,Right to Deploy,Red,0.104,20540.0,279,2026-11-03,3,3,2,25,8,3
Wellcome Sanger,Tier 3,44,132,Right to Deploy,Red,0.5733333333333334,20540.0,276,2026-10-31,3,3,2,25,8,3
University of Hohenheim - Faculty of Natural Science and Agricultural Science,Tier 3,44,135,Named User (Chargeback),Red,0.625,6462.0,149,2026-06-26,4,3,2,25,4,6
