Opportunity Name,Renewal Target Amount,Renewal Date,Customer Usage Health,License Type,Opportunity Owner,TeamOrg ID,Renewed Contract Value*,Customer Relationship Health,$ Growth at Renewal,Churn Reason,Churn Reason Notes,CS POC Relationship Score,Current Number of Seats Available,Seats Filled,Seat Activation Rate,Active Users Last 90 Days,Initial Number of Seats
CS FY27 Renewal:    Leibniz Institute on Aging – Fritz Lipmann Institute,22388.6,9/1/2026,yellow,Defined Group,Fuzail Kadri,612f72ffd73439002897c43e,,Healthy,0,,,,170,149,88,103,109
CS FY27 Renewal:  IIS Aragon // Research Groups,7108.2,6/24/2026,extra green,Defined Group,Fuzail Kadri,6671baa76ec2d1db6a61d3e0,,High Risk,0,,,,100,91,91,65,33
CS FY27 Renewal: University of Southampton - School of Human Development and Health,7539,9/29/2026,green,Defined Group,Fuzail Kadri,68c844fdedb6a12de40127c0,,,0,,,,50,43,86,37,35
CS FY28 Renewal: UKE Hamburg - Multiyear Deal 2 of 2,117000,2/15/2027,red,Sitewide,Fuzail Kadri,697cec267d874368b8487848,117000,,0,,,,2733,72,3,70,414
CS FY27 Renewal: Philipps University of Marburg - Faculty of Medicine,6677.4,8/8/2026,yellow,Named User (Chargeback),Fuzail Kadri,688c9f83b26fd54647647b99,,,0,,,,32,29,91,26,25
"CS FY28 Renewal:   University of Saskatchewan - Dept of Anatomy, Physiology and Pharmacology",8831.4,2/1/2027,yellow,Defined Group,Fuzail Kadri,65b7c86435cd46d5581a4111,,Neutral,0,,,Transactional (2/5),80,60,75,36,41
CS FY27 Renewal:   University of Eastern Piedmont,12924,3/10/2026,green,Named User,Fuzail Kadri,63b45c9816606efb5d31dcb1,12924,Healthy,0,,,Seat at the Table (3/5),62,61,98,52,60
CS FY28 Renewal:    German Aerospace Center // Thomas Urlings,6462,4/12/2027,,Named User,Fuzail Kadri,643447b467e71bd991978bc4,,Healthy,0,,,Ghost (0/5),,,,,30
CS FY27 Renewal:     Ospedale Pediatrico Bambino Gesù (Bambino Gesù Children’s Hospital) - Research Biobank,11847,12/31/2026,orange,Right to Deploy,Fuzail Kadri,61c0f8481a48b8002925c3f7,,High Risk,0,,,Ghost (0/5),55,49,89,28,55
CS FY28 Renewal:    Burnet Institute // Tommy Tran (IT) Site-wide // 50 Named User + SSO,20540,2/14/2027,orange,Named User,Fuzail Kadri,63e3eabfef4404366286d673,,,0,,,Transactional (2/5),100,95,95,40,100
