account_name,opportunity_name,free_users_with_dept_match,free_users_without_dept_match,total_free_users,self_serve_with_dept_match,self_serve_without_dept_match,total_self_serve_users,total_users
Swarthmore College,CS FY27 Renewal:    Swarthmore College,2,3,5,0,0,0,5
Mondino Foundation,CS FY27 Renewal:   IRCCS Mondino Foundation,1,3,4,0,0,0,4
Centre for Translational Stem Cell Biology,CS FY27 Renewal:   CTSCB Hong Kong,0,2,2,0,0,0,2
NIPER Hyderabad,CS FY27 Renewal:   NIPER Hyderabad - Named User License,0,2,2,0,0,0,2
IUF GMBH,CS FY28 Renewal:   IUF GMBH- 40 Named Users,0,1,1,0,0,0,1
Concordia University Wisconsin School of Pharmacy,CS FY27 Renewal: Concordia University of Wisconsin  - School of Pharmacy & School of Arts & Sciences - Robert Burlage,0,1,1,0,0,0,1
IKP Stuttgart,CS FY27 Renewal:  IKP Stuttgart - Institute for Clinical Pharmacology,0,0,0,0,1,1,1
Biodefense Lab (Wadsworth Center),CS FY27 Renewal:  Wadsworth Center - Biodefense Lab,0,0,0,0,0,0,0
Life and Health Sciences Research Institute (Universidade do Minho),CS FY27 Renewal:  Universidade do Minho - Life and Health Sciences Research Institute // Rute Carina,0,0,0,0,0,0,0
Biomedical and Pharmaceutical Sciences (University of Rhode Island),"CS FY28 Renewal:    University of Rhode Island (URI), College of Pharmacy",0,0,0,0,0,0,0
Institute of Molecular Genetics (Czech Academy of Sciences),CS FY28 Renewal:    Institute of Molecular Genetics of the Czech Academy of Sciences,0,0,0,0,0,0,0
Bacteriology Lab (Wadsworth Center),CS FY27 Renewal:  Wadsworth Center - Bacteriology Lab,0,0,0,0,0,0,0
Medizinische Hochschule Hannover,CS FY27 Renewal:  University of Hannover - Medizinische Hochschule Hannover // Barbel Graus,0,0,0,0,0,0,0
Comprehensive Cancer Center UPR,CS FY27 Renewal:  Comprehensive Cancer Center // Named User // Camille Zenon,0,0,0,0,0,0,0
Department of Internal Medicine (University of Cincinnati),CS FY27 Renewal:   University of Cincinnati // Department of Internal Medicine,0,0,0,0,0,0,0
Institute for Tumor Immunology (Philipps Universitat Marburg),CS FY27 Renewal:   Philipps Universitat Marburg - Institute for Tumor Immunology,0,0,0,0,0,0,0
Institute of Microbiology (Czech Academy of Sciences),CS FY27 Renewal:   Czech Academy of Sciences - Institute of Microbiology,0,0,0,0,0,0,0
"UK Health Security Agency, Research & Evaluation","CS FY27 Renewal:   UK Health Security Agency, Research & Evaluation",0,0,0,0,0,0,0
